Instrument,sample_id,reference_session,p_up,beta,primary_group,active_membership,model_row_available,price_gate_pass,price_history_gate_pass,quote_history_gate_pass,liquidity_gate_pass,spread_gate_pass,risk_gate_pass,model_gate_pass,execution_close_pass,execution_quote_pass,source_entry_trade_eligible,pretrade_eligible,pretrade_reason_codes,execution_reason_codes,rank,formation_session
SNDK.OQ,,,,,memory_hbm_storage,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-03-05
NTAP.OQ,a46e96f97802e77b29409a35,2021-03-04,0.557356896229009,1.2118159302429068,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,28.0,2021-03-05
HPE.N,528b2073dfc7763d9c959c07,2021-03-04,0.6412980764910434,0.9021426129380516,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,7.0,2021-03-05
DELL.N,8db4168439890c6d2bc27338,2021-03-04,0.5101291215283125,0.9726254674698008,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,37.0,2021-03-05
ANET.N,fc10b19eec598f57a6cf740e,2021-03-04,0.6260703059431532,1.100361162187042,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,10.0,2021-03-05
CSCO.OQ,02090255c5a6f8f4bb9d8d50,2021-03-04,0.6009102810828253,0.8288899184970145,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,16.0,2021-03-05
JNPR.N^G25,beb1933fe3d367c420617a11,2021-03-04,0.5416838750526654,0.8452722534821482,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,32.0,2021-03-05
CIEN.N,,,,,server_network,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-03-05
MSFT.OQ,3ef3bafac5574256bb155c8f,2021-03-04,0.5866228132014156,1.2512414859722585,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,22.0,2021-03-05
AMZN.OQ,7266825c62c44a3b12f67061,2021-03-04,0.6003902321268912,1.2826577475437888,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,17.0,2021-03-05
GOOG.OQ,d5e56db75e8ce11895311723,2021-03-04,0.5403592484743046,1.3091969635641187,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,34.0,2021-03-05
META.OQ,50924ab855dd4c090f71cbd5,2021-03-04,0.49980137896287297,1.2634920648025982,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,40.0,2021-03-05
ORCL.N,a0a351391c758c14b98a160c,2021-03-04,0.5621041728924762,0.5817125583233888,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,26.0,2021-03-05
IBM.N,41ef528dfce324b40ba895df,2021-03-04,0.5415775413933374,0.6990916822775117,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,33.0,2021-03-05
NOW.N,f2b12ef01f4b65efd74b4624,2021-03-04,0.6512507872492317,1.2005698107370406,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,5.0,2021-03-05
PLTR.OQ,,,,,cloud_software,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-03-05
SNPS.OQ,bc8a2f48ce768272f8e15600,2021-03-04,0.5721447835595459,1.4400668956986449,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,25.0,2021-03-05
CDNS.OQ,2b188c0390e447d29b31f013,2021-03-04,0.6232587837707768,1.3818984251272242,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,13.0,2021-03-05
EQIX.OQ,ae1ceca87ee20da70911b340,2021-03-04,0.5418213562735115,0.636129393400403,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,31.0,2021-03-05
DLR.N,85d494678be36f871a45e834,2021-03-04,0.463019605172252,0.371942291591173,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,41.0,2021-03-05
AMT.N,6a7d03a584cf3c3ce9fbd5a6,2021-03-04,0.5824188035760419,0.6881354613313673,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,23.0,2021-03-05
IRM.N,e4e31123136295602d320a39,2021-03-04,0.40031521387115543,0.229907680175487,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,42.0,2021-03-05
VRT.N,,,,,data_center_power_cooling,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-03-05
ETN.N,3bbb4e0542a5996d55d1ae9d,2021-03-04,0.5061485784679729,0.8762935927194606,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,38.0,2021-03-05
TT.N,7fec2face49ab82bd2d2db4b,2021-03-04,0.5195086524160362,0.7859825653413132,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,36.0,2021-03-05
JCI.N,cab7f4c788033860e6a7621c,2021-03-04,0.5430491524188382,0.7364498926245757,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,30.0,2021-03-05
CARR.N,2538f553dd79d3fa4c7aab6c,2021-03-04,0.5987831979654129,1.060138841977031,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,18.0,2021-03-05
