check_id,category,status,blocking,rows_checked,failures,details
feature_tables_have_no_target_or_future_named_columns,leakage_guard,PASS,True,97,0,"forbidden_feature_names={'base_model_features': [], 'macro_features': [], 'ai_state_features': []}"
numeric_feature_values_are_finite_when_present,feature_schema,PASS,True,2535564,0,NA values are allowed; +/-inf is not
primary_non_overlap_anchor_join_is_complete,anchor_integrity,PASS,True,3326,0,anchors=3326; ai_missing_anchor_dates=0; macro_missing_anchor_dates=0
primary_non_overlap_anchor_security_date_unique,anchor_integrity,PASS,True,3326,0,anchor key is literal security_id + formation_session
feature_name_overlap_reviewed,duplicate_controls,WARN,False,90,3,"exact_base_ai=['spy_momentum_20', 'spy_momentum_5', 'spy_momentum_60']"
formula_equivalent_spy_controls_reviewed,duplicate_controls,WARN,False,3326,6030,"comparisons={'spy_momentum_5__spy_momentum_5': {'comparable_rows': 3326, 'nonzero_rows_at_1e-12': 519, 'max_abs_difference': 0.006671647539108996}, 'spy_momentum_20__spy_momentum_20': {'comparable_rows': 3326, 'nonzero_rows_at_1e-12': 2184, 'max_abs_difference': 0.007268594239301512}, 'spy_momentum_60__spy_momentum_60': {'comparable_rows': 3326, 'nonzero_rows_at_1e-12': 3304, 'max_abs_difference': 0.011816043756439215}, 'spy_momentum_1__spy_return_1': {'comparable_rows': 3326, 'nonzero_rows_at_1e-12': 23, 'max_abs_difference': 0.0058592213744287}}; ai_spy_return_1 uses close-derived return while baseline spy_momentum_1 uses returns input"
macro_anchor_all_missing_features_identified,missingness,FAIL,False,86476,6,"all_missing_features=['high_yield_oas_change_20d', 'high_yield_oas_change_5d', 'high_yield_oas_level', 'investment_grade_oas_change_20d', 'investment_grade_oas_change_5d', 'investment_grade_oas_level']; exclude from development candidates"
ai_anchor_high_missing_features_identified,missingness,FAIL,False,143018,18,"over_5pct_features=['etf_aiq_max_drawdown_60', 'etf_aiq_momentum_20', 'etf_aiq_momentum_5', 'etf_aiq_momentum_60', 'etf_aiq_volatility_20_ann', 'etf_aiq_volatility_60_ann', 'etf_botz_max_drawdown_60', 'etf_botz_momentum_20', 'etf_botz_momentum_5', 'etf_botz_momentum_60', 'etf_botz_volatility_20_ann', 'etf_botz_volatility_60_ann', 'etf_igv_max_drawdown_60', 'etf_igv_momentum_20', 'etf_igv_momentum_5', 'etf_igv_momentum_60', 'etf_igv_volatility_20_ann', 'etf_igv_volatility_60_ann']; ETF history availability is retained as NA"
base_anchor_missingness_within_threshold,missingness,PASS,False,69846,0,over_5pct_features=[]; no new imputation applied
membership_static_registry_limitation_disclosed,membership_selection,WARN,False,110829,86531,"registry_status_rows={'provisional_static_source': 86531, 'direct_local_pit': 24298}; registry_status_instruments={'direct_local_pit': 9, 'provisional_static_source': 40}; provisional rows are not full historical PIT evidence"
test_target_values_not_read_by_audit,test_separation,PASS,True,0,0,"targets_test_sealed.csv is intentionally absent from read paths; no test targets, labels, returns, or model runs opened"
audit_does_not_apply_imputation_or_row_deletion,processing_policy,PASS,True,116946,0,"read-only audit; no imputation, forward/backward fill, winsorization, deduplication, unit change, timezone change, or input row deletion"
