"Instrument","canonical_name","primary_group","pit_evidence_status","pit_eligible_now","source_url","candidate_source","taxonomy_version","source_registry"
"CSCO.OQ","Cisco Systems, Inc.","server_network","provisional_static_source","False","https://www.cisco.com/c/en/us/about.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"JNPR.N^G25","Juniper Networks, Inc.","server_network","provisional_static_source","False","https://www.juniper.net/us/en/company.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"CIEN.N","Ciena Corporation","server_network","provisional_static_source","False","https://www.ciena.com/about","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"MSFT.OQ","Microsoft Corporation","cloud_software","direct_local_pit","True","https://www.microsoft.com/en-us/about","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"AMZN.OQ","Amazon.com, Inc.","cloud_software","provisional_static_source","False","https://www.aboutamazon.com/about-us","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"GOOG.OQ","Alphabet Inc.","cloud_software","provisional_static_source","False","https://about.google/intl/en_us/company-info/","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"META.OQ","Meta Platforms, Inc.","cloud_software","provisional_static_source","False","https://about.meta.com/company-info/","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"ORCL.N","Oracle Corporation","cloud_software","provisional_static_source","False","https://www.oracle.com/corporate/","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"IBM.N","International Business Machines Corporation","cloud_software","provisional_static_source","False","https://www.ibm.com/about","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"NOW.N","ServiceNow, Inc.","cloud_software","provisional_static_source","False","https://www.servicenow.com/company.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"PLTR.OQ","Palantir Technologies Inc.","cloud_software","provisional_static_source","False","https://www.palantir.com/about/","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"SNPS.OQ","Synopsys, Inc.","cloud_software","provisional_static_source","False","https://www.synopsys.com/company.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"CDNS.OQ","Cadence Design Systems, Inc.","cloud_software","provisional_static_source","False","https://www.cadence.com/en_US/home/company.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"EQIX.OQ","Equinix, Inc.","data_center_power_cooling","direct_local_pit","True","https://investor.equinix.com/overview/default.aspx","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"DLR.N","Digital Realty Trust, Inc.","data_center_power_cooling","provisional_static_source","False","https://www.digitalrealty.com/about","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"AMT.N","American Tower Corporation","data_center_power_cooling","direct_local_pit","True","https://www.americantower.com/company/about-us","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"IRM.N","Iron Mountain Incorporated","data_center_power_cooling","direct_local_pit","True","https://www.ironmountain.com/about-us","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"VRT.N","Vertiv Holdings Co","data_center_power_cooling","provisional_static_source","False","https://www.vertiv.com/en-us/about/company/","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"ETN.N","Eaton Corporation plc","data_center_power_cooling","provisional_static_source","False","https://www.eaton.com/us/en-us/company/about-us.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"TT.N","Trane Technologies plc","data_center_power_cooling","provisional_static_source","False","https://www.tranetechnologies.com/en/index/company/about-us.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"JCI.N","Johnson Controls International plc","data_center_power_cooling","provisional_static_source","False","https://www.johnsoncontrols.com/about-us","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"CARR.N","Carrier Global Corporation","data_center_power_cooling","provisional_static_source","False","https://www.carr.com/about-us","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"TSLA.OQ","Tesla, Inc.","robotics_autonomy","provisional_static_source","False","https://www.tesla.com/about","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"TER.OQ","Teradyne, Inc.","robotics_autonomy","direct_local_pit","True","https://www.teradyne.com/about-us/","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"ROK.N","Rockwell Automation, Inc.","robotics_autonomy","provisional_static_source","False","https://www.rockwellautomation.com/en-us/company/about-us.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"HON.OQ","Honeywell International Inc.","robotics_autonomy","provisional_static_source","False","https://www.honeywell.com/us/en/company","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"ISRG.OQ","Intuitive Surgical, Inc.","robotics_autonomy","provisional_static_source","False","https://www.intuitive.com/en-us/about-us","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"ZBRA.OQ","Zebra Technologies Corporation","robotics_autonomy","provisional_static_source","False","https://www.zebra.com/us/en/about-zebra.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"TRMB.OQ","Trimble Inc.","robotics_autonomy","provisional_static_source","False","https://www.trimble.com/en/company/about","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"APTV.N","Aptiv PLC","robotics_autonomy","provisional_static_source","False","https://www.aptiv.com/en/about","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
